"name","site","type","phone","full_address","borough","rating","reviews","working_hours_old_format","location_link"
"Tinex","http://tinex.com.mk/","Supermarket","+389 2 272 7509","3rd Macedonian Brigade Blvd 56, Skopje 1000","Aerodrom","4.2","998","Monday: 8AM-10PM | Tuesday: 8AM-10PM | Wednesday: 8AM-10PM | Thursday: 8AM-10PM | Friday: 8AM-10PM | Saturday: 8AM-10PM | Sunday: Closed","https://www.google.com/maps/place/Tinex/@41.9818893,21.453239099999998,14z/data=!4m8!1m2!2m1!1sTinex!3m4!1s0x135415b7aedf5d97:0xf1247633becdfa56!8m2!3d41.9818893!4d21.453239099999998"
"Stokomak","","Discount supermarket","","Chair, Skopje, 1000","Chair","4.4","115","Monday: 7:30AM-9:30PM | Tuesday: 7:30AM-9:30PM | Wednesday: 7:30AM-9:30PM | Thursday: 7:30AM-9:30PM | Friday: 7:30AM-9:30PM | Saturday: 7:30AM-9:30PM | Sunday: Closed","https://www.google.com/maps/place/Stokomak/@42.015646,21.44294,14z/data=!4m8!1m2!2m1!1sStokomak!3m4!1s0x1354157655f65941:0x92e9fe3cd4b23231!8m2!3d42.015646!4d21.44294"
"Reptil Market Aerodrom","http://www.reptilmarketi.mk/","Supermarket","+389 2 246 0127","Pandil Shishkov 1, Skopje 1000","Aerodrom","4.1","228","Monday: 7AM-9PM | Tuesday: 7AM-9PM | Wednesday: 7AM-9PM | Thursday: 7AM-9PM | Friday: 7AM-9PM | Saturday: 7AM-9PM | Sunday: Closed","https://www.google.com/maps/place/Reptil+Market+Aerodrom/@41.98493,21.453405999999998,14z/data=!4m8!1m2!2m1!1sReptil+Market+Aerodrom!3m4!1s0x135414723490555b:0x75bac892b1f0b469!8m2!3d41.98493!4d21.453405999999998"
"KAM","http://kam.com.mk/","Discount supermarket","+389 2 272 2575","Vostanichka 59, Skopje 1000","Kisela Voda","4.1","191","Monday: 8AM-10PM | Tuesday: 8AM-10PM | Wednesday: 8AM-10PM | Thursday: 8AM-10PM | Friday: 8AM-10PM | Saturday: Closed | Sunday: Closed","https://www.google.com/maps/place/KAM/@41.981133899999996,21.4324258,14z/data=!4m8!1m2!2m1!1sKAM!3m4!1s0x135415d213fff95b:0xeae01c9d4a53f750!8m2!3d41.981133899999996!4d21.4324258"
"Reptil","http://www.reptilmarketi.mk/","Supermarket","+389 2 273 6294","Vostanichka bb, Skopje 1000","Kisela Voda","4.3","330","Monday: 7AM-9PM | Tuesday: 7AM-9PM | Wednesday: 7AM-9PM | Thursday: 7AM-9PM | Friday: 7AM-9PM | Saturday: 7AM-9PM | Sunday: Closed","https://www.google.com/maps/place/Reptil/@41.9837554,21.4288454,14z/data=!4m8!1m2!2m1!1sReptil!3m4!1s0x135415cd6bb16c87:0x8821e24855a62ccc!8m2!3d41.9837554!4d21.4288454"
"Super Tinex - South Bulevard","http://www.tinex.com.mk/","Supermarket","+389 2 311 2655","Ss Cyril & Methodius 5, Skopje 1000","Centar","4.3","534","Monday: 8AM-10PM | Tuesday: 8AM-10PM | Wednesday: 8AM-10PM | Thursday: 8AM-10PM | Friday: 8AM-10PM | Saturday: 8AM-10PM | Sunday: Closed","https://www.google.com/maps/place/Super+Tinex+-+South+Bulevard/@41.9894854,21.432298799999998,14z/data=!4m8!1m2!2m1!1sSuper+Tinex+-+South+Bulevard!3m4!1s0x135415ca46abd943:0xec957b0d1d4f2a3f!8m2!3d41.9894854!4d21.432298799999998"
"Super Tineks","http://www.tinex.com.mk/","Supermarket","+389 2 255 1499","Pero Nakov 108, Skopje 1000","Gazi Baba","4.2","868","Monday: 8AM-10PM | Tuesday: 8AM-10PM | Wednesday: 8AM-10PM | Thursday: 8AM-10PM | Friday: 8AM-10PM | Saturday: 8AM-10PM | Sunday: Closed","https://www.google.com/maps/place/Super+Tineks/@41.9964332,21.4776039,14z/data=!4m8!1m2!2m1!1sSuper+Tineks!3m4!1s0x13543e29851d91d7:0x28d542b77f74a881!8m2!3d41.9964332!4d21.4776039"
"Reptil Market Karpos","http://reptilmarketi.mk/","Supermarket","+389 70 231 124","Blvd. Partizanski Odredi no. 59, Skopje 1000","Karposh","4.1","135","Monday: 7AM-9PM | Tuesday: 7AM-9PM | Wednesday: 7AM-9PM | Thursday: 7AM-9PM | Friday: 7AM-9PM | Saturday: 7AM-9PM | Sunday: Closed","https://www.google.com/maps/place/Reptil+Market+Karpos/@42.000504299999996,21.412120599999998,14z/data=!4m8!1m2!2m1!1sReptil+Market+Karpos!3m4!1s0x135414442dac9ab9:0x367207e76fcb993b!8m2!3d42.000504299999996!4d21.412120599999998"
"Discount Tinex","http://www.tinex.com.mk/","Supermarket","+389 2 204 5680","Gjorche Petrov 11, Skopje 1000","Gjorche Petrov","4.1","369","Monday: 8AM-10PM | Tuesday: 8AM-10PM | Wednesday: 8AM-10PM | Thursday: 8AM-10PM | Friday: 8AM-10PM | Saturday: 8AM-10PM | Sunday: Closed","https://www.google.com/maps/place/Discount+Tinex/@42.007079999999995,21.363550999999998,14z/data=!4m8!1m2!2m1!1sDiscount+Tinex!3m4!1s0x135413930b27db17:0x329452fad2e290d9!8m2!3d42.007079999999995!4d21.363550999999998"
"Dim 7 Market","","Discount supermarket","","Pandil Shishkov 2, Skopje 1000","Aerodrom","4.1","63","Monday: 7:30AM-10PM | Tuesday: 7:30AM-10PM | Wednesday: 7:30AM-10PM | Thursday: 7:30AM-10PM | Friday: 7:30AM-10PM | Saturday: 7:30AM-10PM | Sunday: Closed","https://www.google.com/maps/place/Dim+7+Market/@41.9849588,21.4521204,14z/data=!4m8!1m2!2m1!1sDim+7+Market!3m4!1s0x13541593e37c5a37:0x5f125cbecfedc24e!8m2!3d41.9849588!4d21.4521204"
"Reptil Market Karposh 3","http://reptilmarketi.mk/","Supermarket","+389 70 207 894","Dragisha Mishovikj 3, Skopje 1000","Karposh","4.2","110","Monday: 7AM-9PM | Tuesday: 7AM-9PM | Wednesday: 7AM-9PM | Thursday: 7AM-9PM | Friday: 7AM-9PM | Saturday: 7AM-9PM | Sunday: Closed","https://www.google.com/maps/place/Reptil+Market+Karposh+3/@42.006496299999995,21.400655699999998,14z/data=!4m8!1m2!2m1!1sReptil+Market+Karposh+3!3m4!1s0x13541440c2318b69:0x7f454753ef253493!8m2!3d42.006496299999995!4d21.400655699999998"
"KAM","http://kam.com.mk/","Discount store","+389 2 277 0337","Naroden Front 23, Skopje 1000","Centar","4.1","328","Monday: 7:30AM-10PM | Tuesday: 7:30AM-10PM | Wednesday: 7:30AM-10PM | Thursday: 7:30AM-10PM | Friday: 7:30AM-10PM | Saturday: 7:30AM-10PM | Sunday: Closed","https://www.google.com/maps/place/KAM/@41.9936885,21.415062199999998,14z/data=!4m8!1m2!2m1!1sKAM!3m4!1s0x1354143818458775:0x303b296bfa7f669c!8m2!3d41.9936885!4d21.415062199999998"
"Deni Market","","Supermarket","","Boulevard Jane Sandanski 70, Skopje 1000","Aerodrom","4.5","11","Monday: 7AM-11PM | Tuesday: 7AM-11PM | Wednesday: 7AM-11PM | Thursday: 7AM-11PM | Friday: 7AM-11PM | Saturday: 7AM-11PM | Sunday: 7AM-11PM","https://www.google.com/maps/place/Deni+Market/@41.9842559,21.4652013,14z/data=!4m8!1m2!2m1!1sDeni+Market!3m4!1s0x135415f2b88f00f7:0x41508e472fb1c623!8m2!3d41.9842559!4d21.4652013"
"ER GROS","","Supermarket","","Cvetan Dimov 84, Skopje 1000","Chair","4.5","11","Monday: 7AM-12AM | Tuesday: 7AM-12AM | Wednesday: 7AM-12AM | Thursday: 7AM-12AM | Friday: 7AM-12AM | Saturday: 7AM-12AM | Sunday: Closed","https://www.google.com/maps/place/ER+GROS/@42.0104171,21.4446185,14z/data=!4m8!1m2!2m1!1sER+GROS!3m4!1s0x1354151f87593c01:0xd630fe292894c96!8m2!3d42.0104171!4d21.4446185"
"Zur Market 16","http://zurmarket.mk/","Supermarket","+389 70 281 784","Volgogradska 7-9, Skopje 1000","Karposh","4","104","Monday: 7:30AM-10PM | Tuesday: 7:30AM-10PM | Wednesday: 7:30AM-10PM | Thursday: 7:30AM-10PM | Friday: 7:30AM-10PM | Saturday: 7:30AM-10PM | Sunday: 8AM-4PM","https://www.google.com/maps/place/Zur+Market+16/@42.0055312,21.3863403,14z/data=!4m8!1m2!2m1!1sZur+Market+16!3m4!1s0x1354147150d8439b:0x90ecd7e74d11ade8!8m2!3d42.0055312!4d21.3863403"
"Zur Market 22","http://www.zurmarket.mk/","Supermarket","+389 71 415 541","Varsavska 42-46, Skopje, 1000","Karposh","4.2","72","Monday: 7:30AM-9:30PM | Tuesday: 7:30AM-9:30PM | Wednesday: 7:30AM-9:30PM | Thursday: 7:30AM-9:30PM | Friday: 7:30AM-9:30PM | Saturday: 7:30AM-4PM | Sunday: Closed","https://www.google.com/maps/place/Zur+Market+22/@42.0009782,21.395885399999997,14z/data=!4m8!1m2!2m1!1sZur+Market+22!3m4!1s0x13541570aea1c3c7:0xde43de9c5d9b9108!8m2!3d42.0009782!4d21.395885399999997"
"KAM","http://kam.com.mk/","Discount store","","Veniamin Machukovski 6, Skopje 1000","Aerodrom","4.4","273","Monday: 7:30AM-10PM | Tuesday: 7:30AM-10PM | Wednesday: 7:30AM-10PM | Thursday: 7:30AM-10PM | Friday: 7:30AM-10PM | Saturday: 7:30AM-10PM | Sunday: Closed","https://www.google.com/maps/place/KAM/@41.9854889,21.448528,14z/data=!4m8!1m2!2m1!1sKAM!3m4!1s0x135415c107926e69:0x133c44d682b681f9!8m2!3d41.9854889!4d21.448528"
"Ralex - Market 4","http://facebook.com/raleksmarketi","Supermarket","+389 76 482 184","Skopje 1000","Karposh","4","8","Monday: 7:30AM-9:30PM | Tuesday: 7:30AM-9:30PM | Wednesday: 7:30AM-9:30PM | Thursday: 7:30AM-9:30PM | Friday: 7:30AM-9:30PM | Saturday: 7:30AM-9:30PM | Sunday: 7:30AM-3:30PM","https://www.google.com/maps/place/Ralex+-+Market+4/@42.005676199999996,21.3817706,14z/data=!4m8!1m2!2m1!1sRalex+-+Market+4!3m4!1s0x13541475db8891ff:0xf7638590b3bf05f1!8m2!3d42.005676199999996!4d21.3817706"
"Tinex","http://www.tinex.com.mk/","Supermarket","+389 2 323 0163","Disabled War Veteran's House, Vasil Glavinov 28, Skopje 1000","Centar","3.9","229","Monday: 7:30AM-10PM | Tuesday: 7:30AM-10PM | Wednesday: 7:30AM-10PM | Thursday: 7:30AM-10PM | Friday: 7:30AM-10PM | Saturday: 7:30AM-10PM | Sunday: Closed","https://www.google.com/maps/place/Tinex/@41.996463999999996,21.427574099999998,14z/data=!4m8!1m2!2m1!1sTinex!3m4!1s0x135415b529ddaa1d:0xbf8939a6350048fd!8m2!3d41.996463999999996!4d21.427574099999998"
"Tinex Delicatessen","http://www.tinex.com.mk/","Supermarket","","Blvd. Partizanski Odredi 1000, Skopje 1000","Karposh","3.9","94","Monday: 8AM-9:30PM | Tuesday: 8AM-9:30PM | Wednesday: 8AM-9:30PM | Thursday: 8AM-9:30PM | Friday: 8AM-9:30PM | Saturday: 8AM-9:30PM | Sunday: Closed","https://www.google.com/maps/place/Tinex+Delicatessen/@42.0031301,21.3956788,14z/data=!4m8!1m2!2m1!1sTinex+Delicatessen!3m4!1s0x1354144c1c3018a7:0xa8062ca34aac9818!8m2!3d42.0031301!4d21.3956788"
"Reptil Market - Kozle","https://reptilmarketi.mk/","Supermarket","+389 71 271 805","Ul. Kozle br.93 Kozle Skopje MK, 1000","Karposh","4.4","39","Monday: 7AM-9PM | Tuesday: 7AM-9PM | Wednesday: 7AM-9PM | Thursday: 7AM-9PM | Friday: 7AM-9PM | Saturday: 7AM-9PM | Sunday: Closed","https://www.google.com/maps/place/Reptil+Market+-+Kozle/@41.99505,21.394323,14z/data=!4m8!1m2!2m1!1sReptil+Market+-+Kozle!3m4!1s0x13541512878ce151:0x842d65daf0a517c9!8m2!3d41.99505!4d21.394323"
"KAM","http://kam.com.mk/","Discount store","+389 71 330 795","Blagoja Stefkovski 12, Skopje 1000","Gazi Baba","4.3","291","Monday: 7:30AM-9:30PM | Tuesday: 7:30AM-9:30PM | Wednesday: 7:30AM-9:30PM | Thursday: 7:30AM-9:30PM | Friday: 7:30AM-9:30PM | Saturday: Closed | Sunday: Closed","https://www.google.com/maps/place/KAM/@41.999412,21.4884143,14z/data=!4m8!1m2!2m1!1sKAM!3m4!1s0x13543fcd4bb33853:0x86f00f994f8dde54!8m2!3d41.999412!4d21.4884143"
"Mercato","http://www.mercato.mk/","Fruit and vegetable store","+389 2 309 7439","26-b, Varsavska, Skopje 1000","Karposh","5","11","Monday: 8AM-9PM | Tuesday: 8AM-9PM | Wednesday: 8AM-9PM | Thursday: 8AM-9PM | Friday: 8AM-9PM | Saturday: 8AM-9PM | Sunday: 8AM-3PM","https://www.google.com/maps/place/Mercato/@42.0009318,21.3977972,14z/data=!4m8!1m2!2m1!1sMercato!3m4!1s0x13541597167f8e8b:0xbb7ceb4578dfc7d0!8m2!3d42.0009318!4d21.3977972"
"KAM","http://kam.com.mk/","Discount store","+389 72 210 593","Petar Madzunkov 16, Skopje 1000","Butel","4.5","124","Monday: 8AM-9:30PM | Tuesday: 8AM-9:30PM | Wednesday: 8AM-9:30PM | Thursday: 8AM-9:30PM | Friday: 8AM-9:30PM | Saturday: 8AM-9:30PM | Sunday: Closed","https://www.google.com/maps/place/KAM/@42.0316822,21.444086799999997,14z/data=!4m8!1m2!2m1!1sKAM!3m4!1s0x1354153b9287b945:0x1ecd4d60fa3881e3!8m2!3d42.0316822!4d21.444086799999997"
"Kri kri","","Market","","Aerodrom, Skopje, 1000","Aerodrom","","","","https://www.google.com/maps/place/Kri+kri/@41.9859297,21.461686,14z/data=!4m8!1m2!2m1!1sKri+kri!3m4!1s0x135415799f8872cf:0x6a2cd8c3b6e4382f!8m2!3d41.9859297!4d21.461686"
